t_mono_s,v_bus,i,p
# start 2026-09-25T19:46:02 mono=606.1 interval=10.0 threshold=9.6 count=3
8316.5,11.748,-0.360,-4.23
8326.5,11.746,-0.368,-4.33
8336.5,11.745,-0.357,-4.20
8346.5,11.745,-0.358,-4.20
8356.5,11.743,-0.361,-4.24
8366.5,11.743,-0.360,-4.23
8376.5,11.738,-0.378,-4.44
8386.5,11.736,-0.381,-4.47
8396.5,11.738,-0.362,-4.25
8406.5,11.737,-0.365,-4.29
8416.5,11.738,-0.361,-4.23
8426.5,11.735,-0.360,-4.22
8436.5,11.730,-0.381,-4.47
8446.5,11.733,-0.361,-4.23
8456.5,11.732,-0.364,-4.27
8466.5,11.733,-0.360,-4.23
8476.5,11.731,-0.361,-4.23
8486.5,11.729,-0.361,-4.23
8496.5,11.729,-0.362,-4.25
8506.5,11.726,-0.365,-4.28
8516.5,11.726,-0.361,-4.24
8526.5,11.726,-0.360,-4.23
8536.5,11.724,-0.362,-4.24
8546.5,11.719,-0.380,-4.45
8556.5,11.722,-0.363,-4.25
8566.5,11.721,-0.360,-4.22
8576.5,11.721,-0.364,-4.26
8586.5,11.720,-0.359,-4.21
8596.5,11.719,-0.360,-4.22
8606.5,11.732,-0.298,-3.50
8616.5,11.721,-0.347,-4.07
8626.5,11.716,-0.363,-4.26
8636.5,11.715,-0.363,-4.25
8646.5,11.714,-0.365,-4.27
8656.5,11.714,-0.364,-4.26
8666.5,11.716,-0.342,-4.01
8676.5,11.715,-0.342,-4.00
8686.5,11.713,-0.353,-4.14
8696.5,11.714,-0.344,-4.03
8706.5,11.713,-0.343,-4.01
8716.5,11.712,-0.344,-4.03
8726.5,11.711,-0.346,-4.05
8736.5,11.706,-0.363,-4.25
8746.5,11.708,-0.345,-4.04
8756.5,11.708,-0.346,-4.06
8766.5,11.708,-0.344,-4.03
8776.5,11.706,-0.344,-4.03
8786.5,11.705,-0.342,-4.00
8796.5,11.704,-0.350,-4.10
8806.5,11.704,-0.342,-4.00
8816.5,11.699,-0.365,-4.27
8826.5,11.703,-0.343,-4.01
8836.5,11.701,-0.345,-4.04
8846.5,11.701,-0.345,-4.03
8856.5,11.699,-0.344,-4.03
8866.5,11.698,-0.346,-4.05
8876.5,11.693,-0.363,-4.24
8886.5,11.697,-0.347,-4.06
8896.5,11.696,-0.347,-4.06
8906.5,11.694,-0.351,-4.10
8916.5,11.694,-0.345,-4.03
8926.5,11.693,-0.344,-4.03
8936.5,11.691,-0.343,-4.01
8946.5,11.690,-0.344,-4.02
8956.5,11.690,-0.343,-4.01
8966.5,11.688,-0.343,-4.00
8976.5,11.687,-0.344,-4.02
8986.5,11.687,-0.343,-4.01
8996.5,11.687,-0.343,-4.01
9006.5,11.682,-0.366,-4.27
9016.5,11.685,-0.347,-4.05
9026.5,11.685,-0.346,-4.04
9036.5,11.684,-0.342,-4.00
9046.5,11.683,-0.345,-4.04
9056.5,11.676,-0.365,-4.26
9066.5,11.680,-0.345,-4.03
9076.5,11.679,-0.343,-4.01
9086.5,11.678,-0.346,-4.04
9096.5,11.678,-0.348,-4.06
9106.5,11.674,-0.362,-4.22
9116.5,11.676,-0.344,-4.02
9126.5,11.675,-0.346,-4.04
9136.5,11.674,-0.344,-4.01
9146.5,11.673,-0.345,-4.03
9156.5,11.671,-0.350,-4.08
9166.5,11.670,-0.346,-4.04
9176.5,11.670,-0.345,-4.02
9186.5,11.669,-0.345,-4.02
