t_mono_s,v_bus,i,p
# start 2026-09-25T19:46:02 mono=606.1 interval=10.0 threshold=9.6 count=3
14056.5,11.238,-0.382,-4.29
14066.5,11.238,-0.378,-4.25
14076.5,11.238,-0.379,-4.25
14086.5,11.235,-0.376,-4.23
14096.5,11.234,-0.377,-4.24
14106.5,11.234,-0.377,-4.24
14116.5,11.233,-0.379,-4.26
14126.5,11.231,-0.379,-4.25
14136.5,11.229,-0.379,-4.25
14146.5,11.229,-0.376,-4.23
14156.5,11.228,-0.380,-4.27
14166.5,11.227,-0.376,-4.22
14176.5,11.225,-0.380,-4.26
14186.5,11.225,-0.378,-4.24
14196.5,11.224,-0.379,-4.26
14206.5,11.224,-0.376,-4.21
14216.5,11.222,-0.381,-4.27
14226.5,11.221,-0.378,-4.24
14236.5,11.220,-0.379,-4.25
14246.5,11.220,-0.379,-4.25
14256.5,11.219,-0.377,-4.23
14266.5,11.217,-0.381,-4.27
14276.5,11.216,-0.381,-4.28
14286.5,11.215,-0.376,-4.22
14296.5,11.214,-0.376,-4.21
14306.5,11.213,-0.380,-4.26
14316.5,11.213,-0.379,-4.25
14326.5,11.211,-0.380,-4.26
14336.5,11.208,-0.383,-4.30
14346.5,11.208,-0.378,-4.24
14356.5,11.207,-0.378,-4.24
14366.5,11.207,-0.379,-4.25
14376.5,11.206,-0.377,-4.23
14386.5,11.205,-0.376,-4.21
14396.5,11.203,-0.379,-4.24
14406.5,11.202,-0.377,-4.23
14416.5,11.201,-0.381,-4.27
14426.5,11.201,-0.379,-4.24
14436.5,11.199,-0.378,-4.24
14446.5,11.197,-0.376,-4.21
14456.5,11.196,-0.383,-4.29
14466.5,11.196,-0.380,-4.25
14476.5,11.194,-0.380,-4.26
14486.5,11.194,-0.379,-4.24
14496.5,11.192,-0.380,-4.25
14506.5,11.191,-0.380,-4.25
14516.5,11.190,-0.380,-4.26
14526.5,11.189,-0.379,-4.25
14536.5,11.188,-0.378,-4.23
14546.5,11.187,-0.380,-4.25
14556.5,11.187,-0.381,-4.26
14566.5,11.185,-0.379,-4.24
14576.5,11.184,-0.376,-4.21
14586.5,11.183,-0.380,-4.25
14596.5,11.183,-0.380,-4.25
14606.5,11.182,-0.380,-4.25
14616.5,11.180,-0.379,-4.24
14626.5,11.178,-0.379,-4.24
14636.5,11.178,-0.381,-4.25
14646.5,11.177,-0.380,-4.24
14656.5,11.175,-0.379,-4.24
14666.5,11.174,-0.378,-4.22
14676.5,11.174,-0.381,-4.26
14686.5,11.172,-0.381,-4.25
14696.5,11.171,-0.379,-4.24
14706.5,11.172,-0.380,-4.24
14716.5,11.169,-0.381,-4.26
14726.5,11.168,-0.379,-4.23
14736.5,11.167,-0.383,-4.28
14746.5,11.166,-0.381,-4.25
14756.5,11.164,-0.376,-4.20
14766.5,11.164,-0.379,-4.23
14776.5,11.162,-0.382,-4.27
14786.5,11.162,-0.379,-4.23
14796.5,11.161,-0.379,-4.23
14806.5,11.159,-0.379,-4.23
14816.5,11.159,-0.377,-4.21
14826.5,11.158,-0.381,-4.25
14836.5,11.157,-0.380,-4.24
14846.5,11.156,-0.379,-4.23
14856.5,11.155,-0.379,-4.23
14866.5,11.154,-0.381,-4.25
14876.5,11.153,-0.380,-4.24
14886.5,11.152,-0.380,-4.24
14896.5,11.149,-0.378,-4.22
14906.5,11.149,-0.378,-4.22
14916.5,11.148,-0.383,-4.27
14926.5,11.148,-0.381,-4.25
14936.5,11.147,-0.378,-4.21
14946.5,11.145,-0.380,-4.23
14956.5,11.144,-0.383,-4.27
14966.5,11.143,-0.382,-4.26
14976.5,11.141,-0.380,-4.24
14986.5,11.140,-0.381,-4.24
14996.5,11.144,-0.359,-4.00
15006.5,11.139,-0.382,-4.26
15016.5,11.142,-0.361,-4.03
15026.5,11.141,-0.361,-4.02
15036.5,11.139,-0.358,-3.99
15046.5,11.137,-0.363,-4.05
15056.5,11.137,-0.361,-4.02
15066.5,11.137,-0.359,-3.99
15076.5,11.136,-0.358,-3.99
15086.5,11.133,-0.361,-4.02
15096.5,11.138,-0.333,-3.71
15106.5,11.128,-0.383,-4.26
15116.5,11.123,-0.401,-4.46
15126.5,11.124,-0.379,-4.21
15136.5,11.123,-0.377,-4.19
15146.5,11.123,-0.380,-4.22
15156.5,11.122,-0.382,-4.24
15166.5,11.119,-0.380,-4.23
15176.5,11.118,-0.378,-4.21
15186.5,11.117,-0.378,-4.20
15196.5,11.112,-0.399,-4.43
15206.5,11.116,-0.380,-4.22
15216.5,11.114,-0.378,-4.20
15226.5,11.108,-0.400,-4.44
15236.5,11.111,-0.385,-4.28
15246.5,11.110,-0.380,-4.22
15256.5,11.105,-0.402,-4.46
15266.5,11.107,-0.384,-4.26
15276.5,11.106,-0.383,-4.25
15286.5,11.106,-0.380,-4.22
15296.5,11.104,-0.385,-4.27
15306.5,11.103,-0.379,-4.21
15316.5,11.102,-0.382,-4.24
15326.5,11.102,-0.382,-4.24
15336.5,11.099,-0.383,-4.26
15346.5,11.095,-0.397,-4.41
15356.5,11.098,-0.381,-4.22
15366.5,11.096,-0.383,-4.25
15376.5,11.094,-0.383,-4.25
15386.5,11.092,-0.387,-4.30
15396.5,11.092,-0.379,-4.20
15406.5,11.092,-0.383,-4.24
15416.5,11.090,-0.385,-4.27
15426.5,11.089,-0.378,-4.19
15436.5,11.087,-0.379,-4.20
15446.5,11.083,-0.403,-4.46
15456.5,11.085,-0.384,-4.26
15466.5,11.084,-0.381,-4.23
15476.5,11.084,-0.378,-4.19
15486.5,11.081,-0.387,-4.29
15496.5,11.081,-0.378,-4.19
15506.5,11.080,-0.381,-4.22
15516.5,11.078,-0.384,-4.25
15526.5,11.077,-0.381,-4.22
15536.5,11.076,-0.380,-4.21
15546.5,11.075,-0.381,-4.22
15556.5,11.074,-0.385,-4.26
15566.5,11.072,-0.384,-4.25
15576.5,11.072,-0.381,-4.22
15586.5,11.070,-0.384,-4.25
15596.5,11.066,-0.393,-4.35
15606.5,11.067,-0.381,-4.22
15616.5,11.067,-0.383,-4.24
15626.5,11.065,-0.383,-4.24
15636.5,11.061,-0.403,-4.46
15646.5,11.063,-0.379,-4.19
15656.5,11.061,-0.383,-4.24
15666.5,11.061,-0.384,-4.24
15676.5,11.060,-0.380,-4.21
15686.5,11.060,-0.381,-4.22
15696.5,11.071,-0.313,-3.46
15706.5,11.060,-0.367,-4.06
15716.5,11.060,-0.364,-4.03
15726.5,11.059,-0.363,-4.01
15736.5,11.058,-0.363,-4.02
15746.5,11.057,-0.365,-4.04
15756.5,11.056,-0.361,-3.99
15766.5,11.054,-0.363,-4.02
15776.5,11.052,-0.367,-4.05
15786.5,11.052,-0.365,-4.04
15796.5,11.051,-0.362,-4.00
15806.5,11.046,-0.386,-4.27
15816.5,11.049,-0.364,-4.02
15826.5,11.044,-0.384,-4.24
15836.5,11.047,-0.360,-3.98
15846.5,11.045,-0.364,-4.02
15856.5,11.045,-0.361,-3.98
15866.5,11.043,-0.362,-4.00
15876.5,11.043,-0.361,-3.99
15886.5,11.042,-0.366,-4.05
15896.5,11.040,-0.366,-4.04
15906.5,11.040,-0.365,-4.03
15916.5,11.038,-0.362,-4.00
15926.5,11.037,-0.362,-4.00
15936.5,11.036,-0.361,-3.99
15946.5,11.033,-0.362,-4.00
15956.5,11.033,-0.364,-4.02
15966.5,11.032,-0.365,-4.03
15976.5,11.032,-0.364,-4.02
15986.5,11.031,-0.364,-4.02
15996.5,11.029,-0.365,-4.03
16006.5,11.028,-0.363,-4.00
16016.5,11.023,-0.383,-4.22
16026.5,11.024,-0.376,-4.14
16036.5,11.026,-0.364,-4.01
16046.5,11.024,-0.361,-3.98
16056.5,11.023,-0.364,-4.01
16066.5,11.022,-0.367,-4.04
16076.5,11.021,-0.366,-4.03
16086.5,11.021,-0.362,-3.99
16096.5,11.020,-0.363,-4.00
16106.5,11.018,-0.365,-4.02
16116.5,11.013,-0.382,-4.20
16126.5,11.015,-0.362,-3.99
16136.5,11.010,-0.384,-4.23
16146.5,11.010,-0.385,-4.24
16156.5,11.013,-0.365,-4.02
16166.5,11.012,-0.364,-4.01
16176.5,11.010,-0.366,-4.02
16186.5,11.009,-0.367,-4.04
16196.5,11.007,-0.365,-4.02
16206.5,11.003,-0.384,-4.22
16216.5,11.006,-0.365,-4.02
16226.5,11.004,-0.363,-3.99
16236.5,11.004,-0.366,-4.02
16246.5,11.002,-0.366,-4.03
16256.5,11.001,-0.365,-4.02
16266.5,11.000,-0.365,-4.01
16276.5,10.999,-0.363,-3.99
16286.5,10.999,-0.365,-4.02
16296.5,10.997,-0.361,-3.97
16306.5,10.996,-0.363,-4.00
16316.5,10.995,-0.363,-3.99
16326.5,10.993,-0.365,-4.01
16336.5,10.993,-0.364,-4.00
16346.5,10.992,-0.364,-4.00
16356.5,10.990,-0.364,-4.00
16366.5,10.989,-0.367,-4.03
16376.5,10.989,-0.367,-4.03
16386.5,10.984,-0.390,-4.29
16396.5,10.982,-0.389,-4.27
16406.5,10.984,-0.371,-4.07
16416.5,10.986,-0.363,-3.99
16426.5,10.978,-0.387,-4.25
16436.5,10.982,-0.367,-4.03
16446.5,10.977,-0.383,-4.20
16456.5,10.975,-0.384,-4.21
16466.5,10.978,-0.367,-4.03
16476.5,10.977,-0.363,-3.98
16486.5,10.975,-0.363,-3.99
16496.5,10.975,-0.364,-3.99
16506.5,10.973,-0.366,-4.02
16516.5,10.971,-0.365,-4.01
16526.5,10.972,-0.366,-4.01
16536.5,10.971,-0.364,-3.99
16546.5,10.970,-0.370,-4.06
16556.5,10.968,-0.368,-4.03
16566.5,10.967,-0.366,-4.02
16576.5,10.966,-0.367,-4.02
16586.5,10.966,-0.368,-4.04
16596.5,10.964,-0.369,-4.04
16606.5,10.963,-0.366,-4.01
16616.5,10.962,-0.369,-4.04
16626.5,10.957,-0.387,-4.24
16636.5,10.961,-0.368,-4.03
16646.5,10.955,-0.386,-4.23
16656.5,10.957,-0.368,-4.03
16666.5,10.958,-0.365,-4.00
16676.5,10.956,-0.363,-3.98
16686.5,10.954,-0.372,-4.08
16696.5,10.953,-0.365,-4.00
16706.5,10.953,-0.364,-3.99
16716.5,10.951,-0.365,-3.99
16726.5,10.947,-0.386,-4.22
16736.5,10.948,-0.365,-4.00
16746.5,10.948,-0.367,-4.01
16756.5,10.947,-0.368,-4.02
16766.5,10.946,-0.368,-4.03
16776.5,10.946,-0.366,-4.01
16786.5,10.945,-0.367,-4.02
16796.5,10.939,-0.389,-4.26
16806.5,10.937,-0.387,-4.23
16816.5,10.940,-0.364,-3.98
16826.5,10.939,-0.366,-4.00
16836.5,10.934,-0.388,-4.24
16846.5,10.937,-0.366,-4.00
16856.5,10.936,-0.365,-3.99
16866.5,10.936,-0.365,-3.99
16876.5,10.930,-0.388,-4.24
16886.5,10.930,-0.385,-4.20
16896.5,10.928,-0.386,-4.22
16906.5,10.927,-0.387,-4.22
16916.5,10.929,-0.367,-4.01
16926.5,10.929,-0.364,-3.98
16936.5,10.928,-0.368,-4.02
16946.5,10.927,-0.372,-4.06
16956.5,10.922,-0.389,-4.25
16966.5,10.921,-0.387,-4.23
16976.5,10.923,-0.368,-4.02
16986.5,10.922,-0.371,-4.05
16996.5,10.923,-0.368,-4.02
17006.5,10.917,-0.389,-4.25
17016.5,10.919,-0.368,-4.02
17026.5,10.913,-0.392,-4.27
17036.5,10.917,-0.367,-4.00
17046.5,10.911,-0.390,-4.26
17056.5,10.914,-0.370,-4.04
17066.5,10.913,-0.370,-4.03
17076.5,10.912,-0.370,-4.03
17086.5,10.911,-0.366,-4.00
17096.5,10.911,-0.368,-4.02
17106.5,10.909,-0.367,-4.00
17116.5,10.905,-0.383,-4.18
17126.5,10.907,-0.368,-4.02
17136.5,10.903,-0.389,-4.24
17146.5,10.901,-0.390,-4.25
17156.5,10.900,-0.393,-4.28
17166.5,10.903,-0.371,-4.05
17176.5,10.898,-0.389,-4.24
17186.5,10.892,-0.412,-4.48
17196.5,10.895,-0.387,-4.22
17206.5,10.895,-0.390,-4.25
17216.5,10.889,-0.408,-4.44
17226.5,10.891,-0.389,-4.24
17236.5,10.891,-0.390,-4.25
17246.5,10.890,-0.391,-4.26
17256.5,10.885,-0.407,-4.43
17266.5,10.888,-0.386,-4.20
17276.5,10.886,-0.389,-4.23
17286.5,10.885,-0.385,-4.19
17296.5,10.884,-0.386,-4.21
17306.5,10.879,-0.408,-4.44
17316.5,10.882,-0.389,-4.23
17326.5,10.876,-0.407,-4.42
17336.5,10.880,-0.386,-4.20
17346.5,10.878,-0.391,-4.25
17356.5,10.878,-0.388,-4.22
17366.5,10.875,-0.387,-4.21
17376.5,10.871,-0.411,-4.46
17386.5,10.870,-0.408,-4.44
17396.5,10.872,-0.388,-4.21
17406.5,10.868,-0.408,-4.44
17416.5,10.871,-0.388,-4.22
17426.5,10.869,-0.393,-4.28
17436.5,10.868,-0.388,-4.22
17446.5,10.867,-0.391,-4.25
17456.5,10.862,-0.410,-4.45
17466.5,10.861,-0.410,-4.45
17476.5,10.866,-0.387,-4.20
17486.5,10.859,-0.409,-4.44
17496.5,10.861,-0.392,-4.25
17506.5,10.860,-0.391,-4.24
17516.5,10.860,-0.388,-4.22
17526.5,10.858,-0.390,-4.23
17536.5,10.853,-0.413,-4.48
17546.5,10.852,-0.413,-4.48
17556.5,10.847,-0.425,-4.61
17566.5,10.854,-0.393,-4.27
17576.5,10.850,-0.401,-4.35
17586.5,10.852,-0.388,-4.21
17596.5,10.847,-0.406,-4.40
17606.5,10.849,-0.390,-4.24
17616.5,10.848,-0.387,-4.20
17626.5,10.848,-0.385,-4.17
17636.5,10.843,-0.403,-4.37
17646.5,10.845,-0.389,-4.22
17656.5,10.840,-0.411,-4.46
17666.5,10.842,-0.391,-4.24
17676.5,10.842,-0.392,-4.25
17686.5,10.839,-0.400,-4.33
17696.5,10.839,-0.391,-4.24
17706.5,10.839,-0.390,-4.22
17716.5,10.837,-0.397,-4.30
17726.5,10.836,-0.391,-4.23
17736.5,10.836,-0.389,-4.21
17746.5,10.834,-0.393,-4.25
17756.5,10.833,-0.389,-4.21
17766.5,10.833,-0.387,-4.19
17776.5,10.836,-0.367,-3.97
17786.5,10.835,-0.372,-4.03
17796.5,10.834,-0.370,-4.01
17806.5,10.832,-0.366,-3.97
17816.5,10.831,-0.373,-4.04
17826.5,10.830,-0.371,-4.02
17836.5,10.831,-0.366,-3.97
17846.5,10.825,-0.389,-4.22
17856.5,10.827,-0.375,-4.06
17866.5,10.824,-0.386,-4.18
17876.5,10.826,-0.368,-3.98
17886.5,10.821,-0.388,-4.20
17896.5,10.819,-0.393,-4.25
17906.5,10.823,-0.368,-3.98
17916.5,10.822,-0.369,-3.99
17926.5,10.821,-0.369,-3.99
17936.5,10.820,-0.373,-4.04
17946.5,10.819,-0.371,-4.01
17956.5,10.818,-0.371,-4.01
17966.5,10.816,-0.370,-4.01
17976.5,10.815,-0.368,-3.98
17986.5,10.814,-0.367,-3.97
17996.5,10.813,-0.367,-3.97
18006.5,10.812,-0.372,-4.02
18016.5,10.811,-0.368,-3.98
18026.5,10.811,-0.371,-4.01
18036.5,10.806,-0.391,-4.22
18046.5,10.809,-0.373,-4.04
18056.5,10.809,-0.369,-3.99
18066.5,10.807,-0.370,-3.99
18076.5,10.806,-0.374,-4.04
18086.5,10.805,-0.372,-4.02
18096.5,10.804,-0.370,-4.00
18106.5,10.803,-0.372,-4.02
18116.5,10.802,-0.371,-4.01
18126.5,10.801,-0.368,-3.97
18136.5,10.800,-0.372,-4.02
18146.5,10.798,-0.369,-3.99
18156.5,10.798,-0.369,-3.99
18166.5,10.796,-0.370,-4.00
18176.5,10.796,-0.371,-4.01
18186.5,10.795,-0.371,-4.00
18196.5,10.794,-0.372,-4.02
18206.5,10.794,-0.368,-3.97
18216.5,10.792,-0.367,-3.96
18226.5,10.786,-0.394,-4.25
18236.5,10.790,-0.373,-4.02
18246.5,10.789,-0.371,-4.01
18256.5,10.783,-0.390,-4.20
18266.5,10.787,-0.372,-4.01
18276.5,10.782,-0.392,-4.22
18286.5,10.785,-0.371,-4.00
18296.5,10.783,-0.373,-4.02
18306.5,10.782,-0.369,-3.97
18316.5,10.782,-0.373,-4.02
18326.5,10.781,-0.373,-4.02
18336.5,10.776,-0.391,-4.21
18346.5,10.779,-0.369,-3.97
18356.5,10.778,-0.371,-4.00
18366.5,10.776,-0.374,-4.03
18376.5,10.775,-0.373,-4.02
18386.5,10.774,-0.370,-3.99
18396.5,10.769,-0.394,-4.24
18406.5,10.772,-0.375,-4.04
18416.5,10.768,-0.390,-4.20
18426.5,10.771,-0.368,-3.96
18436.5,10.770,-0.370,-3.98
18446.5,10.765,-0.392,-4.22
18456.5,10.768,-0.368,-3.96
18466.5,10.767,-0.369,-3.97
18476.5,10.766,-0.373,-4.01
18486.5,10.764,-0.374,-4.03
18496.5,10.764,-0.370,-3.98
18506.5,10.762,-0.368,-3.96
18516.5,10.762,-0.374,-4.03
18526.5,10.762,-0.370,-3.98
18536.5,10.761,-0.369,-3.97
18546.5,10.760,-0.372,-4.00
18556.5,10.758,-0.374,-4.03
18566.5,10.758,-0.370,-3.98
18576.5,10.752,-0.396,-4.26
18586.5,10.755,-0.372,-4.01
18596.5,10.755,-0.371,-3.99
18606.5,10.749,-0.392,-4.21
18616.5,10.753,-0.373,-4.01
18626.5,10.750,-0.377,-4.05
18636.5,10.750,-0.373,-4.01
18646.5,10.745,-0.392,-4.21
18656.5,10.748,-0.371,-3.98
18666.5,10.743,-0.395,-4.24
18676.5,10.747,-0.368,-3.96
18686.5,10.740,-0.394,-4.23
18696.5,10.739,-0.392,-4.21
18706.5,10.743,-0.373,-4.01
18716.5,10.742,-0.369,-3.96
18726.5,10.741,-0.370,-3.98
18736.5,10.740,-0.378,-4.06
18746.5,10.739,-0.371,-3.98
18756.5,10.737,-0.369,-3.97
18766.5,10.736,-0.374,-4.01
18776.5,10.735,-0.375,-4.02
18786.5,10.735,-0.372,-3.99
18796.5,10.732,-0.377,-4.05
18806.5,10.733,-0.374,-4.02
18816.5,10.732,-0.374,-4.02
18826.5,10.730,-0.371,-3.98
18836.5,10.730,-0.371,-3.98
18846.5,10.729,-0.377,-4.04
18856.5,10.724,-0.395,-4.23
18866.5,10.725,-0.370,-3.97
18876.5,10.726,-0.375,-4.02
18886.5,10.724,-0.373,-4.00
18896.5,10.720,-0.391,-4.19
18906.5,10.723,-0.370,-3.97
18916.5,10.722,-0.373,-4.00
18926.5,10.717,-0.396,-4.25
18936.5,10.720,-0.371,-3.98
18946.5,10.719,-0.371,-3.97
18956.5,10.717,-0.378,-4.05
18966.5,10.717,-0.374,-4.01
18976.5,10.717,-0.370,-3.96
18986.5,10.714,-0.371,-3.97
18996.5,10.714,-0.375,-4.02
19006.5,10.714,-0.373,-4.00
19016.5,10.711,-0.372,-3.98
19026.5,10.710,-0.374,-4.00
19036.5,10.711,-0.374,-4.00
19046.5,10.705,-0.391,-4.18
19056.5,10.709,-0.373,-4.00
19066.5,10.707,-0.376,-4.03
19076.5,10.706,-0.375,-4.02
19086.5,10.705,-0.371,-3.97
19096.5,10.702,-0.388,-4.16
19106.5,10.702,-0.373,-3.99
19116.5,10.700,-0.371,-3.97
19126.5,10.701,-0.373,-3.99
19136.5,10.698,-0.383,-4.10
19146.5,10.698,-0.373,-3.99
19156.5,10.695,-0.394,-4.21
19166.5,10.696,-0.371,-3.97
19176.5,10.695,-0.375,-4.01
19186.5,10.695,-0.372,-3.97
19196.5,10.693,-0.374,-4.00
19206.5,10.693,-0.375,-4.01
19216.5,10.690,-0.375,-4.01
19226.5,10.690,-0.371,-3.97
19236.5,10.684,-0.393,-4.20
19246.5,10.687,-0.379,-4.05
19256.5,10.683,-0.395,-4.22
19266.5,10.685,-0.373,-3.99
19276.5,10.685,-0.373,-3.99
19286.5,10.682,-0.377,-4.03
19296.5,10.683,-0.371,-3.97
19306.5,10.683,-0.372,-3.97
19316.5,10.680,-0.376,-4.02
19326.5,10.678,-0.376,-4.02
19336.5,10.679,-0.375,-4.00
19346.5,10.676,-0.377,-4.03
19356.5,10.675,-0.376,-4.02
19366.5,10.671,-0.398,-4.25
19376.5,10.674,-0.375,-4.00
19386.5,10.673,-0.373,-3.98
19396.5,10.671,-0.375,-4.00
19406.5,10.670,-0.374,-3.99
19416.5,10.669,-0.374,-3.99
19426.5,10.664,-0.398,-4.25
19436.5,10.666,-0.375,-4.00
19446.5,10.662,-0.396,-4.22
19456.5,10.660,-0.397,-4.23
19466.5,10.660,-0.395,-4.21
19476.5,10.658,-0.396,-4.22
19486.5,10.657,-0.396,-4.22
19496.5,10.655,-0.397,-4.23
19506.5,10.654,-0.397,-4.23
19516.5,10.652,-0.398,-4.24
19526.5,10.650,-0.402,-4.28
19536.5,10.650,-0.398,-4.24
19546.5,10.649,-0.396,-4.21
19556.5,10.648,-0.400,-4.26
19566.5,10.646,-0.396,-4.22
19576.5,10.645,-0.395,-4.21
19586.5,10.644,-0.398,-4.23
19596.5,10.643,-0.396,-4.22
19606.5,10.642,-0.396,-4.21
19616.5,10.641,-0.397,-4.22
19626.5,10.639,-0.400,-4.26
19636.5,10.639,-0.398,-4.23
19646.5,10.637,-0.399,-4.24
19656.5,10.636,-0.398,-4.23
19666.5,10.635,-0.399,-4.25
19676.5,10.634,-0.397,-4.23
19686.5,10.631,-0.398,-4.23
19696.5,10.632,-0.398,-4.23
19706.5,10.630,-0.396,-4.21
19716.5,10.629,-0.398,-4.23
19726.5,10.627,-0.396,-4.21
19736.5,10.626,-0.395,-4.20
19746.5,10.626,-0.400,-4.26
19756.5,10.624,-0.397,-4.21
19766.5,10.623,-0.402,-4.27
19776.5,10.621,-0.398,-4.23
19786.5,10.620,-0.398,-4.22
19796.5,10.619,-0.396,-4.21
19806.5,10.618,-0.395,-4.20
19816.5,10.616,-0.397,-4.21
19826.5,10.614,-0.397,-4.21
19836.5,10.615,-0.398,-4.23
19846.5,10.613,-0.399,-4.24
19856.5,10.612,-0.396,-4.21
19866.5,10.610,-0.401,-4.25
19876.5,10.609,-0.397,-4.21
19886.5,10.608,-0.399,-4.23
19896.5,10.607,-0.399,-4.23
19906.5,10.605,-0.398,-4.22
19916.5,10.604,-0.399,-4.24
19926.5,10.602,-0.396,-4.20
19936.5,10.602,-0.399,-4.23
19946.5,10.600,-0.401,-4.25
19956.5,10.601,-0.394,-4.18
19966.5,10.599,-0.401,-4.25
19976.5,10.597,-0.397,-4.20
19986.5,10.595,-0.400,-4.24
19996.5,10.594,-0.398,-4.21
20006.5,10.594,-0.402,-4.26
20016.5,10.592,-0.396,-4.20
20026.5,10.591,-0.404,-4.28
20036.5,10.589,-0.397,-4.20
20046.5,10.590,-0.399,-4.22
20056.5,10.587,-0.399,-4.23
20066.5,10.586,-0.400,-4.24
20076.5,10.584,-0.401,-4.25
20086.5,10.583,-0.399,-4.22
20096.5,10.581,-0.403,-4.27
20106.5,10.580,-0.395,-4.18
20116.5,10.579,-0.400,-4.23
20126.5,10.577,-0.399,-4.22
20136.5,10.577,-0.399,-4.22
20146.5,10.576,-0.400,-4.23
20156.5,10.573,-0.397,-4.20
20166.5,10.572,-0.403,-4.26
20176.5,10.571,-0.396,-4.18
20186.5,10.570,-0.406,-4.29
20196.5,10.569,-0.399,-4.22
20206.5,10.568,-0.400,-4.23
20216.5,10.566,-0.399,-4.22
20226.5,10.565,-0.399,-4.22
20236.5,10.562,-0.400,-4.23
20246.5,10.561,-0.398,-4.20
20256.5,10.561,-0.399,-4.21
20266.5,10.560,-0.397,-4.20
20276.5,10.558,-0.399,-4.21
20286.5,10.557,-0.401,-4.24
20296.5,10.556,-0.397,-4.19
20306.5,10.555,-0.400,-4.22
20316.5,10.552,-0.401,-4.23
20326.5,10.551,-0.402,-4.24
20336.5,10.550,-0.399,-4.21
20346.5,10.548,-0.400,-4.22
20356.5,10.547,-0.402,-4.24
20366.5,10.545,-0.399,-4.20
20376.5,10.545,-0.399,-4.20
20386.5,10.543,-0.400,-4.21
20396.5,10.542,-0.402,-4.24
20406.5,10.541,-0.399,-4.20
20416.5,10.540,-0.404,-4.26
20426.5,10.538,-0.400,-4.21
20436.5,10.537,-0.401,-4.23
20446.5,10.535,-0.405,-4.27
20456.5,10.534,-0.401,-4.22
20466.5,10.532,-0.406,-4.28
20476.5,10.531,-0.398,-4.19
20486.5,10.530,-0.402,-4.24
20496.5,10.528,-0.404,-4.25
20506.5,10.527,-0.403,-4.24
20516.5,10.525,-0.401,-4.22
20526.5,10.523,-0.405,-4.26
20536.5,10.522,-0.400,-4.21
20546.5,10.523,-0.402,-4.23
20556.5,10.520,-0.403,-4.24
20566.5,10.518,-0.402,-4.23
20576.5,10.517,-0.403,-4.24
20586.5,10.516,-0.401,-4.22
20596.5,10.514,-0.404,-4.25
20606.5,10.512,-0.402,-4.22
20616.5,10.511,-0.401,-4.22
20626.5,10.511,-0.401,-4.22
20636.5,10.509,-0.403,-4.23
20646.5,10.507,-0.400,-4.21
20656.5,10.507,-0.401,-4.22
20666.5,10.505,-0.400,-4.20
20676.5,10.504,-0.402,-4.23
20686.5,10.503,-0.399,-4.19
20696.5,10.502,-0.403,-4.23
20706.5,10.499,-0.401,-4.21
20716.5,10.498,-0.401,-4.21
20726.5,10.498,-0.405,-4.25
20736.5,10.497,-0.399,-4.19
20746.5,10.496,-0.402,-4.22
20756.5,10.494,-0.407,-4.27
20766.5,10.493,-0.400,-4.19
20776.5,10.492,-0.403,-4.23
20786.5,10.490,-0.403,-4.23
20796.5,10.489,-0.408,-4.28
20806.5,10.489,-0.402,-4.22
20816.5,10.487,-0.402,-4.22
20826.5,10.485,-0.402,-4.21
20836.5,10.485,-0.404,-4.23
20846.5,10.484,-0.400,-4.20
20856.5,10.483,-0.403,-4.22
20866.5,10.481,-0.402,-4.22
20876.5,10.480,-0.405,-4.24
20886.5,10.480,-0.400,-4.20
20896.5,10.478,-0.401,-4.20
20906.5,10.477,-0.403,-4.22
20916.5,10.476,-0.404,-4.23
20926.5,10.475,-0.402,-4.21
20936.5,10.473,-0.404,-4.23
20946.5,10.472,-0.403,-4.22
20956.5,10.470,-0.402,-4.21
20966.5,10.469,-0.402,-4.21
20976.5,10.469,-0.404,-4.23
20986.5,10.467,-0.402,-4.20
20996.5,10.467,-0.403,-4.21
21006.5,10.465,-0.407,-4.26
21016.5,10.464,-0.402,-4.20
21026.5,10.463,-0.403,-4.22
21036.5,10.462,-0.402,-4.20
21046.5,10.462,-0.407,-4.26
21056.5,10.461,-0.403,-4.21
21066.5,10.459,-0.403,-4.21
21076.5,10.458,-0.403,-4.22
21086.5,10.458,-0.402,-4.20
21096.5,10.457,-0.406,-4.25
21106.5,10.456,-0.400,-4.18
21116.5,10.453,-0.410,-4.29
21126.5,10.454,-0.404,-4.23
21136.5,10.452,-0.400,-4.18
21146.5,10.452,-0.404,-4.23
21156.5,10.449,-0.405,-4.23
21166.5,10.449,-0.400,-4.18
21176.5,10.448,-0.404,-4.23
21186.5,10.446,-0.405,-4.23
21196.5,10.446,-0.404,-4.23
21206.5,10.444,-0.402,-4.20
21216.5,10.444,-0.404,-4.22
21226.5,10.444,-0.406,-4.24
21236.5,10.441,-0.401,-4.19
21246.5,10.441,-0.403,-4.21
21256.5,10.440,-0.403,-4.20
21266.5,10.439,-0.404,-4.22
21276.5,10.438,-0.402,-4.20
21286.5,10.437,-0.403,-4.21
21296.5,10.437,-0.406,-4.23
21306.5,10.434,-0.407,-4.24
21316.5,10.434,-0.403,-4.20
21326.5,10.434,-0.404,-4.21
21336.5,10.432,-0.403,-4.21
21346.5,10.431,-0.406,-4.23
21356.5,10.430,-0.405,-4.23
21366.5,10.428,-0.407,-4.24
21376.5,10.428,-0.407,-4.24
